"$\rho$ g/cm${^3}$" "T (K)" $M(t=0)$ $\alpha_{alt}$ $k_{alt}$ $s_{alt}$ $\alpha_{CAK}$ $k_{CAK}$ "$\dot{M}_{alt}$ ($M_\odot$/yr)" "$\dot{M}_{CAK}$ ($M_\odot$/yr)" "$\dot{M}_{crit,alt}$ ($M_\odot$/yr)" "$\dot{M}_{crit,CAK}$ ($M_\odot$/yr)"
1e-20 5200.0 0.8489894660776854 0.6114252137840243 0.013066642990899978 1.535418325306276 0.5709144026529409 0.013190351008193086 nan 9.956333822410886e-18 nan 6.088607038534578e-16
1e-20 5338.37 0.5459266700001446 0.602720597248527 0.010505980576339077 1.4722785839380814 0.5507633588481613 0.01060459347310873 nan 3.015016256916962e-18 nan 9.566571745620808e-16
1e-20 5480.41 0.4667562110686546 0.588744267839453 0.008413585380238545 1.217298675350863 0.5309487627748235 0.008434232855708799 nan 8.3490812289869e-19 nan 1.397503030775461e-15
1e-20 5626.24 0.5031109263122426 0.5488086004782204 0.00667348114587505 1.339934613906138 0.5172998669726738 0.006720630374263017 nan 3.117450152447255e-19 nan 1.895695688364917e-15
1e-20 5775.95 0.6114275219427114 0.5183505310957709 0.005425850268583293 2.3431144708949603 0.5147211699166262 0.005439052573634982 nan 2.346174601756214e-19 nan 2.443484221455138e-15
1e-20 5929.64 0.7806134799774145 0.5327266436128191 0.0045221548667970825 3.4959213544042225 0.5261818207508099 0.004549294184445496 nan 4.552649329555293e-19 nan 3.0088242004878847e-15
1e-20 6087.42 1.017382716974569 0.5630985179999816 0.003953613189225843 3.5122883347214335 0.5531652038710606 0.00399113000596768 nan 2.2919596470988044e-18 nan 3.533897889565904e-15
1e-20 6249.4 1.3491732377155825 0.5997006409990805 0.00365202268249492 2.9136596041178695 0.5916626882237905 0.003679125660587419 nan 1.9354715398984554e-17 nan 3.387969659816813e-15
1e-20 6415.69 1.8501645175234263 0.6371572308378791 0.0035296327429415373 2.55947728687283 0.6291556632288904 0.0035544426653771905 nan 1.3179476362577245e-16 nan 2.6785086842633893e-15
1e-20 6586.4 2.697180172416355 0.6673747470489063 0.003547448004618458 2.723319848089269 0.6541116411872745 0.003591473307065923 nan 4.798486012280321e-16 nan 1.89328106187031e-15
1e-20 6761.66 4.153008334584328 0.686751643534508 0.0036931951668138225 3.054548640418587 0.6665276040418769 0.003769331160462691 nan 1.058197164111294e-15 nan 1.2458921706744629e-15
1e-20 6941.58 6.196220931318113 0.6954227307543371 0.003977611774135046 3.127599365587217 0.6709994242057621 0.004083032661337953 nan 1.7786404418949657e-15 nan 7.226104873004684e-16
1e-20 7126.29 8.26668184494397 0.6949324866768537 0.004417687722027405 3.061727893856991 0.6692584270884633 0.004545850925688104 nan 2.4677502400238755e-15 nan 3.9888495445980095e-16
1e-20 7315.91 9.97140089804812 0.6870274535836021 0.0050321999534245114 3.0518775381944985 0.6607918219467519 0.005185595061515175 nan 2.7799741522330575e-15 nan 2.2470428258268317e-16
1e-20 7510.58 11.465055920372171 0.6742601256748748 0.005842249902683383 3.1789136801633906 0.647348866183561 0.006031010098793938 nan 2.685357386618187e-15 nan 1.3597820314785049e-16
1e-20 7710.42 12.929373266392012 0.6598183362311608 0.006867849113921354 3.4419150520884205 0.632130316431023 0.007106647799249048 nan 2.4699700580021977e-15 nan 1.6524623630754164e-16
1e-20 7915.59 14.22249381918387 0.6458545167668878 0.008119157919072141 3.722468633265045 0.6177094122555105 0.008418515492945209 nan 2.3569161202611926e-15 nan 3.0401317172016096e-16
1e-20 8126.21 15.083950360118605 0.6329717442993221 0.009591569265209413 3.8095495277339175 0.605919378123568 0.009938634583600274 nan 2.4831801505623602e-15 nan 6.551858255760008e-16
1e-20 8342.44 15.822194726441232 0.6212071901070666 0.011245366465202087 3.568596602274147 0.596543806098518 0.011611933121225698 nan 2.8435135072038897e-15 nan 1.4334413724104584e-15
1e-20 8564.43 17.18969745742738 0.611871131177274 0.012882344877125019 3.3444225999250734 0.5867651212959558 0.013295683833699253 nan 3.107763403233698e-15 nan 2.9707423748099817e-15
1e-20 8792.32 19.589949455806988 0.6083659217835519 0.013981358231422965 3.564890312463124 0.5779269060693119 0.014537389461186236 nan 3.2710043771208448e-15 nan 5.738041434220995e-15
1e-20 9026.27 23.361057666136112 0.6130246103755562 0.01402695207864362 4.362395738203906 0.5749441732732502 0.014779078612772289 nan 3.8799679800185305e-15 nan 1.1007398365000575e-14
1e-20 9266.45 28.80603593293961 0.6232602132429729 0.013298254692999249 4.878856061352547 0.5800966808853888 0.014151734647965677 nan 5.8029968389548465e-15 nan 1.917247983306038e-14
1e-20 9513.02 35.3211357928703 0.6345786973021326 0.012492575746064532 4.184760084400322 0.5944423175878205 0.01325089363661203 nan 1.189468115460551e-14 nan 3.0064632281978267e-14
1e-20 9766.15 42.14027811028703 0.64616466788889 0.011791947029933329 3.323838311562384 0.6164324317223555 0.012322400246456557 nan 3.0836347279535146e-14 nan 4.377452590941271e-14
1e-20 10026.01 49.37553584475681 0.6594516988903916 0.011016744222213699 2.7106644269199216 0.6416434538156036 0.011314917825445067 nan 8.212609674560352e-14 nan 6.142047388038864e-14
1e-20 10292.79 57.397584874756056 0.6749326922624804 0.010124054723296508 2.2603966495375363 0.6663151161176515 0.010258494247344456 nan 1.9723269007010847e-13 nan 8.580313405600388e-14
1e-20 10566.67 66.33280647267195 0.6906749555020131 0.009360203468697918 1.8961196611868312 0.688497231693013 0.009393338767572295 nan 4.226518871483874e-13 nan 1.2210120135458294e-13
1e-20 10847.84 75.91751735957169 0.7043640682189735 0.008956413710102784 1.5795072434224533 0.7070917525668056 0.008920641853330715 nan 8.285640111245443e-13 nan 1.7899830250422642e-13
1e-20 11136.49 85.49248038697147 0.7144133065195727 0.008991555560464656 1.3106336420284301 0.7198754922922036 0.008911522224967012 nan 1.451673408779527e-12 nan 2.7178690414050615e-13
1e-20 11432.82 95.1116791761811 0.7191203997575637 0.009443082163586221 1.121736682634713 0.7251792145608071 0.009335047898243815 nan 2.206670956484042e-12 nan 4.22137529509758e-13
1e-20 11737.03 107.13633517161 0.7160666656276367 0.010263096471251041 1.0557126944931572 0.7236170197671495 0.010110210999912581 nan 2.9408602874117564e-12 nan 6.399230082485008e-13
1e-20 12049.34 124.5781437684777 0.7047231802494901 0.011485627410042417 1.1471165790518034 0.7157979191372897 0.011252737934306792 nan 3.484139030878657e-12 nan 9.248487595423254e-13
1e-20 12369.96 152.47489771570503 0.6892390889235179 0.013189610853736983 1.3907063753282514 0.7025260133940044 0.01286213478641337 nan 3.745797707359763e-12 nan 1.282685581299279e-12
1e-20 12699.11 208.159913419481 0.6762301902525168 0.015305387392442313 1.4111240713536388 0.6852891824680668 0.0149851573249997 nan 3.746829509249697e-12 nan 1.6884934260656507e-12
1e-20 13037.02 314.41724750603845 0.6636019641609149 0.017827579907765314 1.1495314785547124 0.6666264767752078 0.017540764139082524 nan 3.636227097920357e-12 nan 2.121138520103216e-12
1e-20 13383.92 442.57651429508934 0.6456995268010102 0.02072301765363824 1.054917557100998 0.6513165275468844 0.020166925503048095 nan 3.759935009248078e-12 nan 2.836375886965487e-12
1e-20 13740.05 541.8702242965533 0.6251601562274369 0.0235376623016032 1.1531920794354045 0.642855307101308 0.022308181165606834 nan 4.429343494558039e-12 nan 3.963462104765404e-12
1e-20 14105.65 609.7335344971042 0.6075406366445143 0.025832928438869692 1.5107718971010675 0.6400251079456978 0.023720146544093896 nan 5.740487746505469e-12 nan 5.635261697234669e-12
1e-20 14480.99 660.2670538662161 0.6005424635694023 0.026767651976981964 2.0001149131262883 0.6414139084146038 0.024164710089394463 nan 7.802860885340756e-12 nan 8.049722117441123e-12
1e-20 14866.31 699.3191052169652 0.6055045670494853 0.025688739924748898 1.9508588306007448 0.6494441365395804 0.023116208997517373 1.1455116948548942e-13 1.1415590449427759e-11 nan 1.145552973465184e-11
1e-20 15261.89 728.6459147738954 0.6170942863452061 0.023332820708819292 1.6275505555051795 0.6638213443375062 0.020977857620566618 4.906124683801893e-13 1.790380223384216e-11 nan 1.61897039641436e-11
1e-20 15667.99 754.9746340312162 0.6280401496985086 0.021016947310298534 1.4733718645373417 0.6806306710655612 0.018801115907435235 1.2135150774174083e-12 2.8716154350551326e-11 7.257865636763682e-13 2.2976830818389864e-11
1e-20 16084.89 783.6354622696459 0.6361187082548078 0.019324109687719738 1.445100189299741 0.6953765950723342 0.017196914323403766 2.661348212517657e-12 4.439159766674333e-11 6.1252373376286475e-12 3.3910536597784987e-11
1e-20 16512.89 808.7075207715892 0.6432806205199161 0.018217260081616216 1.4098036131408866 0.7039473342852557 0.01627631860013157 4.998946056674214e-12 6.198366084333529e-11 1.820778961022983e-11 5.054254493659266e-11
1e-20 16952.28 810.1926161141583 0.6511843164073942 0.017630830156884863 1.2966124804003571 0.7065859457613524 0.01597225409765536 7.963233447020015e-12 7.964404651791991e-11 4.0067587377679313e-11 7.557592706718964e-11
1e-20 17403.36 745.6384127003058 0.6605625589703188 0.017459066124367997 1.1399297296674198 0.7068880519638647 0.01612480608329587 1.062696847344373e-11 1.0118777174280617e-10 7.656489789716474e-11 1.1304266674993538e-10
1e-20 17866.45 574.7838562703502 0.6728748320975244 0.017581401516603923 0.9994413902802046 0.7051247708260903 0.01666618329862898 1.0504736591803013e-11 1.2723087820778675e-10 1.3399322111943791e-10 1.6930172746702844e-10
1e-20 18341.85 358.4012279430779 0.6855063470509792 0.018039408554079633 0.9771616548438259 0.6993158751801305 0.017612718197365596 5.893239445175805e-12 1.518985511309992e-10 2.2112858015630381e-10 2.5425276588840505e-10
1e-20 18829.91 214.19120145459655 0.6918404774488889 0.018921504743791527 1.1800749396035308 0.6914943455317519 0.01887590055041014 6.600411523322227e-13 1.7788513319422236e-10 3.519475182294079e-10 3.825047891688522e-10
1e-20 19330.95 158.1748022630518 0.692961055324461 0.020015572031980924 1.6377039904288717 0.6840241125608351 0.020230190842039482 nan 2.1051603200758752e-10 5.369534623613344e-10 5.741320522499042e-10
1e-20 19845.32 153.56994611191797 0.6945800194827282 0.020857931821790073 1.9881193666800445 0.6789055928355209 0.021286671898489158 1.046879072719149e-12 2.5544352790955185e-10 8.003967472283612e-10 8.623880586116058e-10
1e-20 20373.38 177.38667850171836 0.6988169151744826 0.020969679340712383 1.9118518466016508 0.679730146574566 0.02149037278635969 5.3513917666840534e-11 3.302144509853584e-10 1.1799074351721391e-09 1.2922970111679524e-09
1e-20 20915.5 217.46834665705182 0.7067583769072503 0.02008927532943648 1.643339793067254 0.6876024765227706 0.02057269188563251 1.6442543890060138e-10 4.542349332344348e-10 1.7181293921699314e-09 1.9194791525753965e-09
1e-20 21472.03 257.18155931556123 0.7163934153302646 0.018683217849411404 1.4206529157943948 0.6978591358432599 0.019089538931442208 2.966497724719178e-10 6.216266001316225e-10 2.476046349206219e-09 2.8155109106585525e-09
1e-20 22043.38 288.58760046149075 0.7242020964594602 0.01739087943140201 1.2391404745152375 0.7055854962242846 0.017734576736144238 4.267098442983192e-10 8.066711725049902e-10 3.5565499862984824e-09 4.079431719247589e-09
1e-20 22629.93 316.39437937276693 0.7276675250418696 0.01649047013391174 1.083878392890973 0.7103303863936734 0.016748846736811374 5.394605289973454e-10 1.009539561918522e-09 5.054000501471667e-09 5.775288255175931e-09
1e-20 23232.08 343.8919133312716 0.7262905615868893 0.01610378367906792 0.9948277846859659 0.7141954970368593 0.016212041699623047 6.714580399705074e-10 1.283834559060018e-09 6.714258439996325e-09 7.511457118820143e-09
1e-20 23850.26 369.4369543897643 0.722622184158673 0.01623317283966172 0.9492072542960757 0.7198402031325178 0.01613794958498802 8.594601990974369e-10 1.747498186520453e-09 8.79928877066314e-09 9.592996409153694e-09
1e-20 24484.89 392.02070520848184 0.7198130352496925 0.01678445857761779 0.9004269938336753 0.7265711728308369 0.016483834441212115 1.1179895342147505e-09 2.50014358200592e-09 1.1437691666244765e-08 1.2183072782164135e-08
1e-20 25136.4 414.4713290785234 0.7183230854836983 0.017677848863108796 0.8492030737168113 0.7300487120025473 0.017230946551423133 1.4921913922135388e-09 3.478916680267365e-09 1.4802726403493098e-08 1.5471971566506913e-08
1e-20 25805.26 434.20322093388467 0.7159562460398866 0.018777601883842587 0.827018179008807 0.7267363933612856 0.01829221957529851 2.0476706521703553e-09 4.417024402840305e-09 1.9177130050248336e-08 1.9756887325781448e-08
1e-20 26491.9 441.79289248297107 0.712760158696216 0.019754379301405344 0.8348199043373673 0.7185683353685706 0.019364823868249222 2.8033797020369312e-09 5.173981185673551e-09 2.4960767987854775e-08 2.5452186880293802e-08
1e-20 27196.82 441.2483376382869 0.713604125632763 0.0201899109040783 0.836312318871802 0.7129152756141122 0.020011233105167513 3.832890954840242e-09 6.12106741202138e-09 3.2465850454556273e-08 3.2860618112281896e-08
1e-20 27920.5 458.177840102852 0.7179559921646097 0.020246105455819275 0.8362732610837099 0.7131909681220641 0.02024533262904131 5.414637737520977e-09 7.743641541170074e-09 4.247567177038582e-08 4.276240916501398e-08
1e-20 28663.43 508.80453468450213 0.7206604189817043 0.020463844574615284 0.8856393248049926 0.7189516002988667 0.020439615703618776 8.00884737984189e-09 1.0632410472369513e-08 5.70806512604125e-08 5.7277556924212534e-08
1e-20 29426.13 597.804250826355 0.7192065885965198 0.021122134685245108 0.99028456813544 0.7269827443555644 0.020823045515393088 1.1594103691604371e-08 1.5225609946670728e-08 7.827405439453091e-08 7.839176048561785e-08
1e-20 30209.12 712.0276778324102 0.7151843326049636 0.022057451366548273 1.033991205234142 0.7353767587264959 0.021305673250501683 1.5270950731328107e-08 2.1901863788336726e-08 1.0877853591597986e-07 1.0883534034259122e-07
